Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,Burkina Faso,"14,563","38,365","34,485","27,153","18,507","14,408","10,339","7,422","4,987","3,214","2,615","1,676","1,572",851,752,912,"181,821"
1990,Cabo Verde,197,394,581,790,656,594,558,307,118,56,46,40,53,34,34,44,"4,502"
1990,Côte d'Ivoire,"33,356","40,982","47,537","99,670","155,620","147,534","105,835","69,880","42,781","26,234","15,322","9,002","6,194","3,237","1,218",275,"804,677"
1990,Gambia,"5,918","5,334","4,656","7,028","7,718","7,185","4,855","2,614","1,836","1,412","1,106",644,515,406,231,359,"51,817"
1990,Ghana,"11,998","12,847","11,127","9,648","6,856","5,971","4,925","4,043","3,555","2,718","2,160","1,544","1,505","1,068",972,884,"81,821"
1990,Guinea,"22,400","23,463","27,121","23,390","20,254","17,535","14,536","11,736","9,711","7,930","6,817","6,320","4,611","2,509","1,872","2,156","202,361"
1990,Guinea-Bissau,"1,052",960,931,960,884,787,577,409,256,214,173,122,139,97,48,70,"7,679"
1990,Liberia,"6,119","5,809","5,667","5,245","4,581","3,680","2,814","2,041","1,423",994,708,509,369,324,359,398,"41,040"
1990,Mali,"13,505","5,146","9,907","10,259","6,725","5,699","5,870","4,272","4,187","2,729","2,651","1,915","1,769","1,166",989,"1,898","78,687"
1990,Mauritania,"6,852","5,399","5,328","5,643","7,344","7,165","5,067","3,400","2,247","1,526","1,312",780,673,358,387,600,"54,081"
1990,Niger,"3,443","5,075","4,890","6,356","7,800","7,910","6,650","5,150","3,728","2,734","1,896","1,248","1,061",818,634,849,"60,242"
1990,Nigeria,"56,208","26,377","14,461","15,009","20,522","23,696","16,085","9,841","6,161","3,788","3,054","1,437","1,431",653,724,"1,008","200,455"
1990,Saint Helena,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,161
1990,Senegal,"7,473","8,160","9,918","14,234","17,476","16,965","14,837","10,803","7,758","5,983","5,008","3,720","3,057","1,955","1,779","2,444","131,570"
1990,Sierra Leone,"16,754","15,147","13,114","12,134","10,603","8,517","6,512","4,722","3,294","2,302","1,641","1,182",856,601,767,"1,043","99,189"
1990,Togo,"6,115","6,369","6,067","4,490","4,088","3,935","2,838","2,197","1,467","1,239",944,514,568,387,258,465,"41,941"
1990,ASIA,"989,354","1,064,883","1,249,756","1,495,848","1,868,985","2,171,682","2,177,163","1,984,938","1,704,006","1,413,806","1,203,264","1,094,484","997,058","848,018","707,317","1,424,158","22,394,720"
1990,Central Asia,"90,682","112,135","144,694","175,315","186,780","216,098","268,039","323,485","337,372","293,392","267,626","264,950","260,268","248,210","212,805","256,332","3,658,183"
1990,Kazakhstan,"52,179","65,263","85,067","101,086","104,483","118,737","148,216","180,690","186,304","155,010","146,147","147,845","132,328","123,626","82,416","123,639","1,953,036"
1990,Kyrgyzstan,"11,024","13,876","15,796","19,072","21,433","26,022","31,349","34,145","33,211","29,895","26,797","25,960","24,020","19,860","15,360","14,847","362,667"
1990,Tajikistan,"4,826","6,065","7,907","9,940","10,931","12,779","15,859","19,519","21,203","19,516","17,071","16,451","18,730","19,632","20,469","19,874","240,772"
1990,Turkmenistan,"3,553","4,223","5,634","7,092","7,832","9,185","11,390","13,982","15,162","13,957","12,175","11,717","13,364","14,069","14,707","14,284","172,326"
1990,Uzbekistan,"19,100","22,708","30,290","38,125","42,101","49,375","61,225","75,149","81,492","75,014","65,436","62,977","71,826","71,023","79,853","83,688","929,382"
1990,Eastern Asia,"47,323","58,888","70,561","101,641","148,334","187,008","202,105","180,937","168,544","130,988","123,652","131,080","122,113","94,584","73,800","111,901","1,953,459"
1990,China,"9,841","8,864","10,358","14,439","21,171","24,288","21,802","17,234","12,472","8,811","7,219","7,100","7,234","5,426","3,255","4,893","184,407"
1990,"China, Hong Kong SAR","9,996","15,752","21,528","35,595","43,665","70,113","101,871","99,441","104,336","84,038","85,898","99,335","95,650","74,594","60,270","91,847","1,093,929"
1990,"China, Macao SAR","1,165","2,226","4,324","7,684","13,823","15,505","15,849","11,824","7,936","4,529","3,699","4,189","4,612","3,967","3,066","4,270","108,668"
1990,Dem. People's Republic of Korea,950,773,710,976,"1,671","2,073","2,013","1,706","1,287",903,731,721,681,631,421,463,"16,710"
1990,Japan,"23,823","29,289","31,639","41,354","66,288","72,896","58,084","48,676","40,761","31,293","25,038","18,900","13,386","9,586","6,499","10,128","527,640"
1990,Mongolia,174,172,150,167,397,351,309,291,312,306,234,163,79,73,59,62,"3,299"
1990,Republic of Korea,"1,374","1,812","1,852","1,426","1,319","1,782","2,177","1,765","1,440","1,108",833,672,471,307,230,238,"18,806"
1990,Southern Asia,"181,959","216,188","412,974","651,771","839,250","944,053","905,836","819,557","697,027","613,578","515,219","439,225","385,115","335,623","291,363","869,899","9,118,637"
1990,Afghanistan,"1,547","1,640","2,020","2,559","3,167","3,374","2,922","2,216","1,587","1,162",889,730,550,377,150,238,"25,128"
1990,Bangladesh,"21,659","19,035","41,980","73,586","91,965","70,354","37,353","17,345","11,461","6,777","4,535","3,305","3,102","1,528",610,925,"405,520"
1990,Bhutan,257,230,247,180,94,"1,153",437,365,365,290,248,174,137,89,68,64,"4,398"
1990,India,"17,941","28,040","79,132","147,929","215,189","284,546","315,287","317,297","283,957","253,481","215,165","182,263","166,584","161,820","174,682","735,495","3,578,808"
1990,Iran (Islamic Republic of),"116,287","129,046","195,239","245,753","262,778","245,491","183,684","121,006","78,818","67,233","55,368","51,012","37,040","23,068","9,226","13,852","1,834,901"
1990,Maldives,283,247,232,225,356,490,491,420,348,247,177,121,86,68,41,80,"3,912"
1990,Nepal,"4,907","8,434","11,856","28,009","42,343","43,170","38,030","31,064","24,741","20,059","14,011","10,823","10,993","6,922","3,886","4,760","304,008"
1990,Pakistan,"18,578","29,037","81,949","153,196","222,852","294,680","326,516","328,598","294,071","262,509","222,827","188,753","164,901","140,397","101,630","113,330","2,943,824"
1990,Sri Lanka,500,479,319,334,506,795,"1,116","1,246","1,679","1,820","1,999","2,044","1,722","1,354","1,070","1,155","18,138"
1990,South-Eastern Asia,"79,465","89,868","114,940","144,690","159,478","153,728","133,512","109,124","85,929","65,909","55,055","47,778","36,964","27,168","24,957","36,947","1,365,512"
1990,Brunei Darussalam,"1,686","1,424","1,163","1,123","4,020","5,314","5,243","4,033","2,542","1,442","1,053",804,490,380,260,367,"31,344"
1990,Cambodia,664,"2,254","3,363","2,934","2,411","2,034","1,474","1,106",855,623,453,413,384,157,63,103,"19,291"
1990,Indonesia,"19,372","18,835","20,328","22,225","23,657","24,294","24,291","21,635","18,259","13,681","10,692","7,577","5,303","2,651","1,325","1,602","235,727"
1990,Lao People's Democratic Republic,"1,042","1,234","1,376","1,332","1,264","1,135",889,630,463,390,342,292,263,199,79,130,"11,060"
1990,Malaysia,"23,255","20,271","28,015","44,658","50,266","41,313","29,036","18,630","10,819","6,164","3,810","2,720","2,185","2,291","3,100","3,579","290,112"
1990,Myanmar,"2,871","3,390","3,492","5,492","7,302","8,168","7,364","6,124","4,558","3,646","2,569","2,004","1,351",987,611,"1,306","61,235"
1990,Philippines,"7,573","6,912","6,130","5,608","5,438","5,370","5,078","4,518","3,953","3,537","3,157","2,773","2,678","3,029","3,419","3,551","72,724"
1990,Singapore,"7,849","8,976","12,589","19,202","28,578","38,659","40,938","39,540","36,040","30,789","28,855","27,600","20,222","12,137","9,811","19,635","381,420"
1990,Thailand,"13,501","24,831","36,622","40,250","34,501","25,383","17,497","11,697","7,617","5,026","3,634","3,185","3,711","5,072","6,179","6,501","245,207"
1990,Timor-Leste,437,302,258,313,568,734,665,476,283,156,91,69,70,32,17,33,"4,504"
1990,Viet Nam,"1,215","1,439","1,604","1,553","1,473","1,324","1,037",735,540,455,399,341,307,233,93,140,"12,888"
1990,Western Asia,"589,925","587,804","506,587","422,431","535,143","670,795","667,671","551,835","415,134","309,939","241,712","211,451","192,598","142,433","104,392","149,079","6,298,929"
1990,Armenia,"17,907","22,553","25,758","26,861","23,136","24,033","26,460","32,243","36,095","29,830","21,611","22,638","24,666","19,999","16,811","17,653","388,254"
1990,Azerbaijan,"4,882","6,184","8,203","10,340","11,502","13,563","16,791","20,459","22,163","20,448","17,816","16,970","16,308","7,602","5,067","4,446","202,744"
1990,Bahrain,"5,504","4,567","2,949","1,940","5,735","8,813","8,691","5,932","3,171","1,456",813,397,226,114,86,88,"50,482"
1990,Cyprus,993,"1,853","2,180","2,402","2,406","2,333","2,221","1,947","1,568","1,060",908,839,992,620,453,567,"23,342"
1990,Georgia,"4,157","5,290","6,851","7,883","8,070","10,214","13,141","14,813","15,512","14,208","17,646","14,017","17,499","8,749","4,374","8,761","171,185"
1990,Iraq,785,"2,186","3,718","4,071","3,623","2,942","2,237","1,735","1,484","1,272","1,113",915,702,519,230,355,"27,887"
1990,Israel,"7,544","20,571","24,753","27,622","34,741","44,945","56,119","65,243","78,059","81,192","72,207","74,890","71,564","68,126","51,200","83,151","861,927"
1990,Jordan,"86,161","76,872","58,743","49,927","52,077","44,541","37,777","31,773","27,111","21,958","18,645","17,407","14,073","9,767","6,109","6,935","559,876"
1990,Kuwait,"65,309","68,393","57,805","51,149","31,772","27,665","28,305","26,185","19,914","15,865","10,660","6,143","4,940","2,700","1,188","1,520","419,513"
1990,Lebanon,"32,728","30,080","26,482","26,216","27,319","24,727","20,507","15,746","12,052","9,477","8,131","7,712","5,973","3,142","2,276","3,203","255,771"
1990,Oman,"6,898","6,171","3,740","1,634","5,411","10,963","10,977","7,701","4,080","1,922",887,453,312,167,104,103,"61,523"
1990,Qatar,"12,459","10,609","8,059","4,967","7,888","9,688","9,854","7,581","5,094","3,026","1,907","1,081",741,403,302,162,"83,821"
1990,Saudi Arabia,"235,726","214,269","152,322","82,210","142,693","230,569","237,506","172,599","91,720","46,714","26,795","14,469","10,522","4,424","5,085","5,949","1,673,572"
1990,State of Palestine,"6,421","13,166","15,442","16,318","15,840","14,386","11,276","9,024","8,210","7,896","7,798","7,879","7,104","6,328","4,284","4,859","156,231"
1990,Syrian Arab Republic,"21,843","17,620","12,941","10,394","32,702","66,710","68,863","54,905","30,752","16,884","8,737","4,191","2,040",635,452,394,"350,063"
1990,Turkey,"29,152","33,993","54,280","72,028","82,034","81,621","65,619","44,748","29,405","22,268","18,840","17,340","12,650","7,260","5,359","9,760","586,357"
1990,United Arab Emirates,"42,675","43,941","36,652","21,572","43,737","49,164","48,099","36,550","26,508","12,580","5,713","3,080","1,630","1,164",727,736,"374,528"
1990,Yemen,"8,781","9,486","5,709","4,897","4,457","3,918","3,228","2,651","2,236","1,883","1,485","1,030",656,714,285,437,"51,853"
1990,EUROPE,"395,032","731,286","1,115,211","1,433,628","1,842,479","2,218,720","2,399,320","2,436,885","2,248,610","1,976,412","1,672,832","1,577,336","1,447,088","1,117,808","966,275","1,699,201","25,278,517"
1990,Eastern Europe,"177,855","360,146","579,974","673,342","768,608","878,051","967,027","1,073,385","1,024,563","971,360","793,497","822,144","753,212","542,965","503,627","904,293","11,794,049"
1990,Belarus,"13,924","17,043","27,026","42,221","56,169","71,301","68,126","61,195","52,093","49,632","45,351","41,034","34,708","27,679","22,742","46,712","676,956"
1990,Bulgaria,516,537,645,754,"1,022","1,162","1,480","1,673","1,495","1,077",644,422,322,219,204,291,"12,463"
1990,Czechia,234,594,898,"1,027","1,598","2,346","3,154","3,742","4,132","5,094","4,588","5,708","4,796","4,181","4,380","6,517","52,989"
1990,Hungary,"5,374","5,863","7,771","10,613","14,353","14,093","13,204","11,375","10,138","9,128","9,318","12,446","12,698","11,426","12,285","31,240","191,325"
1990,Poland,"9,256","12,827","14,250","13,440","16,492","18,436","20,374","19,954","19,973","25,595","54,188","71,984","80,783","61,388","64,928","141,727","645,595"
1990,Republic of Moldova,"7,784","5,849","8,357","11,447","12,640","13,209","15,680","21,147","27,634","31,101","29,170","24,755","21,743","16,036","19,232","38,762","304,546"
1990,Romania,418,153,166,275,407,262,374,518,592,"4,967","9,219","10,918","10,340","9,140","9,730","20,745","78,224"
1990,Russian Federation,"95,371","219,145","358,761","396,675","449,226","502,016","528,768","586,652","530,612","486,469","318,605","371,198","335,643","196,725","177,327","316,333","5,869,526"
1990,Slovakia,186,486,571,806,"1,092","1,421","1,539","1,779","2,357","1,696","1,501","1,873","2,174","1,987","1,409","2,231","23,108"
1990,Ukraine,"44,792","97,649","161,529","196,084","215,609","253,805","314,328","365,350","375,537","356,601","320,913","281,806","250,005","214,184","191,390","299,735","3,939,317"
1990,Northern Europe,"54,256","94,392","114,899","153,633","243,683","315,707","341,169","331,481","309,554","267,383","252,301","227,470","224,215","193,295","145,906","199,840","3,469,184"
1990,Channel Islands,261,493,621,934,"2,479","3,549","3,365","3,175","2,871","2,962","2,883","1,926","1,538","1,390","1,327","2,881","32,655"
1990,Denmark,"3,322","6,359","6,977","8,812","12,096","12,796","12,005","10,391","9,357","7,624","5,950","4,831","4,617","4,280","3,247","8,114","120,778"
1990,Estonia,"2,239","4,081","4,962","5,146","8,945","16,321","20,208","19,556","15,191","17,398","20,987","19,677","20,503","13,200","8,339","13,553","210,306"
1990,Faeroe Islands,107,142,176,200,231,253,174,115,126,99,66,38,26,31,28,33,"1,845"
1990,Finland,"1,282","2,939","3,792","3,482","3,075","2,698","2,403","1,785","1,290","1,174",904,793,850,"1,207","1,178","2,721","31,573"
1990,Iceland,282,416,447,518,559,637,533,460,310,247,199,165,155,109,101,198,"5,336"
1990,Ireland,"3,068","6,558","9,270","13,632","13,978","13,309","11,072","9,428","6,784","5,814","4,394","3,907","3,508","3,235","2,752","5,159","115,868"
1990,Isle of Man,215,499,726,864,999,"1,241","1,376","1,354","1,241","1,392","1,271","1,222","1,263","1,065","1,141","2,529","18,398"
1990,Latvia,534,"1,697","4,043","6,475","7,871","10,978","18,053","29,659","37,384","38,099","35,318","33,343","32,675","32,021","31,381","35,676","355,207"
1990,Lithuania,"4,016","3,148","3,632","4,685","7,599","13,458","17,693","17,303","15,144","13,072","12,125","13,472","18,348","16,273","14,608","10,097","184,673"
1990,Norway,"2,499","4,617","4,692","5,342","8,735","11,860","11,006","8,977","7,884","6,449","4,267","3,492","3,590","3,290","2,217","4,108","93,025"
1990,Sweden,"6,100","12,110","17,645","25,187","30,930","39,564","40,772","38,743","37,168","32,504","29,296","25,210","18,212","16,269","14,720","21,252","405,682"
1990,United Kingdom,"30,331","51,333","57,916","78,356","146,186","189,043","202,509","190,535","174,804","140,549","134,641","119,394","118,930","100,925","64,867","93,519","1,893,838"
1990,Southern Europe,"61,089","90,628","132,082","201,799","233,022","247,073","216,934","191,340","161,825","133,172","121,932","106,889","101,881","80,514","70,981","126,088","2,277,643"
1990,Albania,"1,466","1,526","1,833","2,143","2,905","3,303","4,207","4,756","4,250","3,061","1,831","1,199",914,623,581,836,"35,434"
1990,Andorra,493,825,942,952,"1,531","2,267","2,284","1,889","1,510","1,102",951,874,858,507,425,684,"18,094"
1990,Bosnia and Herzegovina,"1,023",610,660,"1,036","1,401","1,865","2,387","2,898","3,003","2,891","2,542","2,407","2,257","1,805","1,066","1,611","29,462"
1990,Croatia,"1,835","3,757","5,599","8,562","16,220","25,589","29,051","29,012","25,441","18,220","21,590","18,746","16,526","13,012","6,876","12,871","252,907"
1990,Gibraltar,287,258,255,267,419,550,543,461,370,258,186,131,91,45,22,38,"4,181"
1990,Greece,"14,554","18,314","22,870","23,135","25,945","31,740","29,951","25,703","21,833","16,642","14,072","11,062","10,076","4,020","4,289","13,895","288,101"
1990,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,392
1990,Italy,"20,589","28,945","43,534","67,814","89,886","94,900","75,153","57,964","45,223","38,360","37,269","32,890","34,893","31,470","32,439","54,478","785,807"
1990,Malta,276,721,794,895,"1,068",878,639,445,393,339,271,271,255,223,290,307,"8,065"
1990,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,Portugal,"3,766","9,479","19,184","44,686","33,626","23,802","20,496","16,725","11,166","8,177","7,463","7,153","6,610","3,842","4,068","5,617","225,860"
1990,San Marino,80,81,79,77,147,233,237,188,138,92,72,52,39,24,16,27,"1,582"
1990,Serbia,"1,264","1,644","1,921","2,396","2,657","3,248","3,939","4,624","5,015","5,354","4,377","3,368","3,289","2,331","2,911","4,219","52,557"
1990,Slovenia,430,859,"1,502","2,164","3,345","5,032","6,629","10,466","12,882","12,779","8,368","5,900","5,536","4,561","3,466","4,644","88,563"
1990,Spain,"13,471","22,465","32,094","46,032","50,992","50,532","37,501","31,447","25,466","20,447","16,922","17,046","15,951","14,671","11,792","24,328","431,157"
1990,TFYR Macedonia,"1,555","1,144",815,"1,640","2,880","3,134","3,917","4,762","5,135","5,450","6,018","5,790","4,586","3,380","2,740","2,535","55,481"
1990,Western Europe,"101,832","186,120","288,256","404,854","597,166","777,889","874,190","840,679","752,668","604,497","505,102","420,833","367,780","301,034","245,761","468,980","7,737,641"
1990,Austria,"6,083","11,796","17,017","21,167","26,267","35,981","41,918","39,916","35,613","32,664","30,282","27,174","27,268","24,455","11,667","35,684","424,952"
1990,Belgium,"32,167","34,643","34,447","35,518","39,213","41,425","37,117","30,965","25,901","20,846","19,651","17,855","16,554","10,423","8,482","11,875","417,082"
1990,France,"22,782","50,801","83,605","115,844","163,638","231,106","301,713","312,091","286,641","222,747","190,667","175,912","175,905","145,133","132,372","286,934","2,897,891"
1990,Germany,"17,102","47,639","100,359","156,952","252,366","320,951","349,378","329,597","281,821","223,425","161,011","122,668","85,813","67,195","52,665","74,111","2,643,053"
1990,Liechtenstein,370,366,356,365,477,549,514,440,376,323,226,135,111,126,75,141,"4,950"
1990,Luxembourg,"1,455","1,888","2,093","2,619","4,589","6,283","6,416","5,811","5,690","4,262","3,690","3,095","2,843","2,085","1,719","3,195","57,733"
1990,Monaco,248,259,273,327,450,620,762,824,817,786,848,814,733,834,752,"1,541","10,888"
1990,Netherlands,"11,437","20,991","29,003","45,713","60,809","69,586","63,956","54,344","50,771","38,235","35,363","24,258","20,167","21,391","17,913","25,983","589,920"
1990,Switzerland,"10,188","17,737","21,103","26,349","49,357","71,388","72,416","66,691","65,038","61,209","63,364","48,922","38,386","29,392","20,116","29,516","691,172"
1990,LATIN AMERICA AND THE CARIBBEAN,"155,402","193,588","210,330","229,435","255,610","279,121","282,650","276,188","272,250","232,295","203,346","189,033","194,661","185,716","140,416","272,650","3,572,691"
1990,Caribbean,"35,103","38,696","42,231","47,097","50,557","52,897","51,761","42,271","31,753","23,679","19,245","17,156","15,448","11,920","10,560","16,515","506,889"
1990,Anguilla,131,109,99,105,128,141,145,128,89,55,40,38,38,25,22,19,"1,312"
